t-12,t-11,t-10,t-9,t-8,t-7,t-6,t-5,t-4,t-3,t-2,t-1,t
21439.0,18859.0,16415.0,14105.0,11930.0,9891.0,7987.0,6218.0,4585.0,3086.0,1724.0,496.0,-596.0
18859.0,16415.0,14105.0,11930.0,9891.0,7987.0,6218.0,4585.0,3086.0,1724.0,496.0,-596.0,-1552.0
16415.0,14105.0,11930.0,9891.0,7987.0,6218.0,4585.0,3086.0,1724.0,496.0,-596.0,-1552.0,-2374.0
14105.0,11930.0,9891.0,7987.0,6218.0,4585.0,3086.0,1724.0,496.0,-596.0,-1552.0,-2374.0,-3061.0
11930.0,9891.0,7987.0,6218.0,4585.0,3086.0,1724.0,496.0,-596.0,-1552.0,-2374.0,-3061.0,-3612.0
9891.0,7987.0,6218.0,4585.0,3086.0,1724.0,496.0,-596.0,-1552.0,-2374.0,-3061.0,-3612.0,-4027.0
7987.0,6218.0,4585.0,3086.0,1724.0,496.0,-596.0,-1552.0,-2374.0,-3061.0,-3612.0,-4027.0,-4307.0
6218.0,4585.0,3086.0,1724.0,496.0,-596.0,-1552.0,-2374.0,-3061.0,-3612.0,-4027.0,-4307.0,-4452.0
4585.0,3086.0,1724.0,496.0,-596.0,-1552.0,-2374.0,-3061.0,-3612.0,-4027.0,-4307.0,-4452.0,-4465.0
3086.0,1724.0,496.0,-596.0,-1552.0,-2374.0,-3061.0,-3612.0,-4027.0,-4307.0,-4452.0,-4465.0,-4360.0
