,MONTH,BPS,TRENDS,DELAY0,DELAY1,DELAY2,DELAY3,DELAY4,DELAY5,DELAY6,DELAY7,DELAY8,DELAY9,DELAY10,DELAY11,DELAY12
66,2013-07-01,717784,348,847728.0,1037575.0,1228927.0,690172.0,790272.0,721287.0,560623.0,540988.0,725788.0,809200.0,651175.0,672700.0,818747.9999999999
67,2013-08-01,771009,354,877212.0,847728.0,1037575.0,1228927.0,690172.0,790272.0,721287.0,560623.0,540988.0,725788.0,809200.0,651175.0,672700.0
68,2013-09-01,770878,360,907200.0,877212.0,847728.0,1037575.0,1228927.0,690172.0,790272.0,721287.0,560623.0,540988.0,725788.0,809200.0,651175.0
69,2013-10-01,719903,341,813967.0,907200.0,877212.0,847728.0,1037575.0,1228927.0,690172.0,790272.0,721287.0,560623.0,540988.0,725788.0,809200.0
70,2013-11-01,807422,330,762300.0,813967.0,907200.0,877212.0,847728.0,1037575.0,1228927.0,690172.0,790272.0,721287.0,560623.0,540988.0,725788.0
71,2013-12-01,860655,362,917308.0,762300.0,813967.0,907200.0,877212.0,847728.0,1037575.0,1228927.0,690172.0,790272.0,721287.0,560623.0,540988.0
72,2014-01-01,753079,342,818747.9999999999,917308.0,762300.0,813967.0,907200.0,877212.0,847728.0,1037575.0,1228927.0,690172.0,790272.0,721287.0,560623.0
73,2014-02-01,702666,426,1270332.0,818747.9999999999,917308.0,762300.0,813967.0,907200.0,877212.0,847728.0,1037575.0,1228927.0,690172.0,790272.0,721287.0
74,2014-03-01,765607,395,1092175.0,1270332.0,818747.9999999999,917308.0,762300.0,813967.0,907200.0,877212.0,847728.0,1037575.0,1228927.0,690172.0,790272.0
75,2014-04-01,726332,397,1103263.0,1092175.0,1270332.0,818747.9999999999,917308.0,762300.0,813967.0,907200.0,877212.0,847728.0,1037575.0,1228927.0,690172.0
76,2014-05-01,752363,364,927472.0,1103263.0,1092175.0,1270332.0,818747.9999999999,917308.0,762300.0,813967.0,907200.0,877212.0,847728.0,1037575.0,1228927.0
77,2014-06-01,851475,357,892143.0,927472.0,1103263.0,1092175.0,1270332.0,818747.9999999999,917308.0,762300.0,813967.0,907200.0,877212.0,847728.0,1037575.0
